Combination,N_Features,Features,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_CE,CI_Correct
0,2,"RIDAGEYR, RIAGENDR",0.6841386485867325,0.6652418447694038,0.4425467120321996,0.6652418447694038,0.5315104390659625,0.5909475701173521,0.8193084378362983
1,7,"BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS",0.8519645619205389,0.7789307466726821,0.7784192597791751,0.7789307466726821,0.7786668627694184,0.4611697573656915,0.7999338837034884
2,9,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS",0.8535321386405029,0.7807353936386194,0.7798098592303812,0.7807353936386194,0.780244392767561,0.46483082140257015,0.7851540688661771
3,10,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSTR",0.9129255213835443,0.8407701019252548,0.8416107853622513,0.8407701019252548,0.8411518450619031,0.3743880916822834,0.7894598956791015
4,12,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGH",0.9315117132256101,0.8598321614878657,0.8580308680025143,0.8598321614878657,0.8578985584598833,0.32724101850953113,0.783099607029726
5,12,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGLU",0.9445595151891074,0.87519818799547,0.8743290425515985,0.87519818799547,0.8746351141388459,0.2971533857658666,0.8044532551411976
6,13,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGLU, LBXGH",0.9453838017003331,0.875708777500567,0.8747562087745732,0.875708777500567,0.8750653203646843,0.29446853901159903,0.7932186330126569
