Combination,N_Features,Features,Train_AUC,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_CE,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_CE
0,2,"RIDAGEYR, RIAGENDR",0.6953750848770142,0.609487420427425,0.46815533159378864,0.8209244824714826,0.5670313289770812,0.9509442621226858,0.6873643186752046,0.5752530933633296,0.6985521841751375,0.5752530933633296,0.5785492329023725,0.646795088067439
1,7,"BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS",0.8673684000968933,0.768187388697186,0.6290986046265986,0.7982599155562029,0.6720967080281659,1.098987906688533,0.8633507152597908,0.7705842544552222,0.795644114627759,0.7705842544552222,0.7760917602050783,0.46055112563891476
2,9,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS",0.8730133175849915,0.7659122825071619,0.6243458601945031,0.835244136367885,0.6821208666066624,0.9152561777783739,0.8680210688168697,0.7480261673810061,0.8012877338920572,0.7480261673810061,0.7551844632074691,0.46180611171179864
3,11,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR",0.9314757585525513,0.8459300433319589,0.7357239440856866,0.860447146665757,0.765992359908432,0.7418728759669082,0.9374935099638496,0.8584371460928653,0.8665705030645313,0.8584371460928653,0.8605192428666264,0.33226509784566877
4,12,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGH",0.9349955320358276,0.848839270760252,0.7397391776158093,0.8648897536136015,0.77084748756836,0.7320084752775305,0.9371647536183578,0.8530278974824224,0.8641120504914234,0.8530278974824224,0.8555828567522499,0.34977900353573277
5,12,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGLU",0.9539874196052551,0.8758476264106918,0.7789948558775103,0.8843927928273091,0.8031459196686217,0.6164548693580831,0.9526458117864133,0.8677236693091732,0.8804925879448163,0.8677236693091732,0.8702343844774244,0.31165125853235687
6,13,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGLU, LBXGH",0.9551354646682739,0.8747902402265824,0.7827239988238592,0.8793159987486655,0.8033919051004597,0.6535007103068898,0.953246395529971,0.8684508958947608,0.8800987588026317,0.8684508958947608,0.8708423517242253,0.2896803214126744
