Combination,N_Features,Features,Train_AUC,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_CE,Test_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_CE
0,2,"RIDAGEYR, RIAGENDR",0.697266161441803,0.6724711220179286,0.5595861656983377,0.3228861423319113,0.3951503061700905,3.856976961450917,0.6827147901280359,0.669066366704162,0.6473008065904472,0.669066366704162,0.6505941032069017,0.5905326198863475
1,7,"BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS",0.8676756620407104,0.7995841228536197,0.7537411708676085,0.6350318243698004,0.6788279890636767,2.040540044169341,0.8638434574093227,0.785698172794947,0.7801461861075359,0.785698172794947,0.7798443397211732,0.438717857951525
2,9,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS",0.8727504014968872,0.8042252027562686,0.7883481918201398,0.59925717015712,0.6702249778138734,2.2534023999103483,0.8687150492856555,0.7929167606586961,0.7931635838664131,0.7929167606586961,0.7790083700672845,0.4269243303901956
3,11,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR",0.9359062910079956,0.863725341643606,0.8285709023739185,0.7593176270021768,0.7841352415402502,1.3158780056715877,0.9363688011212936,0.858890147225368,0.8570638387026278,0.858890147225368,0.8569044007379705,0.31515183203631864
4,12,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGH",0.9374634027481079,0.8647930285973209,0.8361136011016574,0.7625878225090639,0.7895002559895568,1.3350895764142208,0.9412897857339602,0.8725334542980268,0.8711795025710061,0.8725334542980268,0.87135545533112,0.30311151149443033
5,12,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGLU",0.9595322608947754,0.8942722088524274,0.8796351422036501,0.8021043452469124,0.831693101947843,1.079172043156429,0.9601292561368626,0.8944507361268403,0.8938511539755167,0.8944507361268403,0.8940615021850896,0.2510453536042469
6,13,"RIDAGEYR, RIAGENDR, BMXHT, BMXWT, BMXBMI, BMXWAIST, BPXDI1, BPXSY1, BPXPLS, LBXSCH, LBXSTR, LBXGLU, LBXGH",0.9591996073722839,0.8950548461505345,0.8837197714971617,0.8105474176512064,0.8382114278893879,1.063128434803953,0.9576516145757383,0.8888636879110909,0.888615617078305,0.8888636879110909,0.888729847239263,0.2560936945957172
